user_id,age,weight_kg,height_cm,workout_duration_min,workout_type,calories_burned,avg_heart_rate,sleep_hours,steps,active_minutes,resting_heart_rate,vo2_max,stress_level,hydration_liters,recovery_score
55,19,96.0,150.1,37,Cardio,568,67,4.1,18899,159,64,46.0,2,3.9,60.7
56,23,84.7,172.5,71,Strength,140,88,8.7,9355,57,58,49.0,4,1.07,76.0
57,59,86.4,191.8,48,Yoga,555,178,7.8,12585,167,74,57.7,2,2.44,55.7
58,21,93.1,178.6,79,Cardio,633,69,7.0,19759,38,45,45.4,4,1.81,41.6
59,46,63.7,200.0,40,HIIT,470,128,7.6,5669,45,82,55.1,3,3.22,97.7
60,35,90.4,164.3,36,Yoga,281,134,8.1,16382,51,69,39.7,7,3.42,84.9
61,43,59.8,164.0,37,Cardio,616,127,9.3,17436,38,78,59.3,5,3.47,48.1
62,51,67.3,158.0,76,Cardio,689,108,8.6,5262,144,52,32.4,7,1.89,67.3
63,27,66.8,158.2,56,Strength,330,117,7.5,6638,169,64,51.7,2,1.82,43.8
64,53,98.9,164.3,79,Yoga,447,94,8.9,4866,150,74,49.8,4,3.03,41.7
65,31,92.8,189.6,57,HIIT,578,109,9.9,11251,150,48,35.8,6,3.78,42.9
66,48,85.1,195.3,31,Yoga,308,99,5.8,10948,151,65,41.7,5,1.76,85.3
67,32,86.4,198.8,94,Cardio,377,179,4.7,2187,143,71,39.4,2,3.73,66.7
68,25,78.1,161.6,103,HIIT,152,71,8.4,12573,153,54,32.8,7,2.77,90.7
69,31,97.4,194.1,92,Cardio,109,144,9.9,9408,50,67,47.5,2,3.21,58.3
70,40,74.8,166.4,20,Strength,563,75,4.7,18679,121,77,59.8,9,2.32,86.5
71,57,69.0,155.6,77,Yoga,682,137,6.6,5533,94,55,46.8,7,3.42,44.7
72,38,58.2,193.5,22,Cardio,257,144,4.4,6140,117,63,46.4,3,3.91,78.1
73,33,89.3,181.8,82,Cardio,118,107,8.7,6042,153,55,31.2,6,1.51,61.6
74,35,86.7,158.2,40,Yoga,154,150,9.7,9733,14,48,34.2,5,2.16,56.6
75,41,69.2,171.5,42,HIIT,120,159,7.0,16676,161,67,45.4,9,3.59,88.9
76,43,51.3,164.4,28,Cardio,381,60,6.5,8005,19,49,59.6,3,1.53,43.1
77,42,91.9,186.8,102,Yoga,639,124,9.4,7870,44,49,56.3,2,2.24,97.0
78,58,50.6,172.7,74,Strength,516,81,4.8,5904,40,62,40.2,2,1.5,87.1
79,46,85.2,199.5,38,Strength,384,74,9.3,17467,129,61,46.3,4,2.95,61.3
80,32,98.5,152.7,81,Yoga,631,175,6.4,13973,88,47,46.6,1,1.71,99.5
81,18,71.9,167.8,106,Cardio,631,143,7.4,16208,148,52,50.6,9,2.14,52.1
82,42,61.7,174.1,110,Yoga,610,126,7.2,4261,18,84,50.6,3,2.47,64.1
83,24,85.2,175.2,110,Yoga,495,73,7.7,15045,53,67,53.7,5,1.89,93.1
84,26,90.9,165.8,58,Cardio,219,132,9.7,19804,125,67,30.7,2,3.04,99.8
85,41,77.3,186.5,119,HIIT,196,78,9.7,16508,153,46,58.3,8,1.33,54.3
86,18,98.4,193.7,95,HIIT,219,99,9.0,18862,129,83,32.1,3,3.64,84.6
87,25,52.6,196.9,46,Strength,636,157,5.1,8577,62,65,44.3,5,2.44,58.3
88,41,75.2,190.3,65,HIIT,252,63,6.0,8785,74,68,57.6,7,2.72,86.0
89,28,85.9,192.5,53,Yoga,344,92,6.9,10884,79,82,44.6,2,2.87,47.5
90,34,93.1,177.5,52,Cardio,615,102,9.4,5038,55,64,31.9,3,1.18,60.2
91,25,59.0,191.3,111,Strength,492,96,7.1,2193,130,83,36.9,8,3.27,44.5
92,52,90.0,165.2,114,HIIT,242,125,9.9,18442,130,71,47.4,8,3.84,69.5
93,52,77.6,169.9,115,Yoga,603,86,9.9,13801,42,83,32.6,3,2.56,82.1
94,50,69.8,165.8,69,Strength,319,104,7.6,4580,90,51,42.7,7,2.17,62.7
95,22,56.6,173.4,39,Cardio,259,140,9.3,14879,64,77,39.9,2,3.35,76.9
96,59,93.3,164.3,59,HIIT,175,172,10.0,14245,107,73,54.5,9,3.16,74.1
97,56,57.9,198.1,118,Yoga,131,109,9.1,15633,119,54,33.3,8,2.95,57.7
98,58,65.5,165.6,114,Cardio,433,176,7.9,13277,177,54,50.5,9,3.9,69.2
99,45,64.5,154.9,77,Yoga,624,154,9.1,9623,162,56,42.2,9,2.75,44.1
100,24,93.6,176.3,50,Yoga,539,122,4.5,2220,159,47,47.6,7,1.75,67.6
101,26,83.6,152.9,57,Yoga,451,164,7.8,2875,134,47,36.2,4,1.07,67.5
102,25,89.8,155.5,105,Cardio,438,65,5.3,13654,100,57,48.3,5,2.36,41.7
103,29,62.5,161.0,64,Strength,499,175,4.7,3196,47,75,50.2,7,2.96,70.8
104,51,81.2,173.2,60,Yoga,495,154,9.4,18719,146,71,32.1,5,1.52,84.3
105,50,78.6,171.7,28,Strength,301,126,7.8,10416,46,50,54.7,8,1.08,67.1
106,40,91.6,190.0,28,Strength,629,163,5.5,16370,14,71,55.8,5,3.73,78.8
107,41,95.3,187.0,82,HIIT,192,126,6.3,3247,91,79,31.9,5,1.91,71.9
108,54,50.6,171.3,98,HIIT,457,156,9.8,15250,159,53,48.1,5,2.4,87.1
109,52,83.7,166.7,96,Strength,495,175,9.2,9111,119,50,47.8,4,1.27,70.9
110,57,52.6,165.8,41,HIIT,159,118,4.1,3886,149,50,30.4,7,2.14,59.9
111,39,77.4,188.7,35,HIIT,576,72,9.9,2310,69,84,40.3,2,2.27,89.7
112,44,64.4,152.6,51,Strength,100,80,6.2,12760,159,70,59.1,4,3.71,44.1
113,52,65.3,150.6,85,Cardio,654,123,8.2,19988,15,63,46.7,3,3.6,57.4
114,18,67.6,189.8,109,HIIT,410,96,8.3,5546,36,60,58.0,8,1.57,75.5
115,52,81.1,173.9,33,HIIT,267,139,9.5,7351,64,67,50.3,7,2.67,91.4
116,54,66.7,156.5,57,Cardio,291,144,9.3,19381,152,55,30.9,3,3.19,44.3
117,31,86.6,161.8,117,Cardio,133,179,5.7,2496,73,60,32.3,4,1.88,45.8
118,20,70.2,196.6,27,Cardio,133,107,7.9,19347,26,73,51.7,4,2.18,56.9
119,18,53.4,193.0,119,Strength,516,115,6.4,12196,12,82,46.6,7,3.95,60.7
120,22,89.2,185.5,40,Cardio,257,103,7.2,3198,19,64,33.8,8,3.28,90.6
121,43,64.3,174.1,75,Strength,599,72,7.3,12537,72,65,48.4,4,2.31,97.5
122,31,71.6,176.0,65,Yoga,465,63,6.4,7910,98,72,54.3,8,2.6,41.0
123,56,84.3,198.8,62,Yoga,439,154,6.8,7484,94,77,52.6,1,2.88,40.9
124,44,66.6,198.3,111,Cardio,434,132,5.3,15397,113,84,37.4,9,2.5,91.9
125,26,52.8,160.8,65,Cardio,682,171,7.6,2576,146,70,37.7,7,2.23,48.1
126,32,68.7,190.6,67,Yoga,426,92,8.6,2053,161,54,59.0,4,2.08,60.4
127,32,97.2,159.9,89,Strength,213,96,6.6,17989,41,78,56.6,8,1.51,56.5
128,43,82.1,160.7,103,Strength,517,112,9.9,13624,12,53,39.6,2,3.92,56.9
129,59,83.6,183.8,50,Cardio,567,160,4.3,17835,170,80,54.7,8,1.27,59.7
130,30,81.6,170.3,52,Cardio,242,83,7.5,2228,118,55,34.9,6,2.8,60.2
131,49,59.9,196.6,63,Cardio,408,148,7.5,18190,149,54,35.9,7,3.88,77.2
132,56,70.9,154.5,90,Yoga,500,110,4.2,14022,102,51,35.4,7,2.12,77.7
133,49,87.5,175.6,27,HIIT,419,100,5.3,2984,112,82,32.6,2,1.76,71.4
134,21,55.1,195.9,92,Cardio,311,88,9.4,14660,106,60,55.6,2,3.87,91.5
135,47,63.9,195.2,21,Strength,416,118,7.3,12041,169,70,47.4,4,3.41,90.7
136,54,63.8,157.8,36,HIIT,284,99,6.6,2531,157,76,37.8,6,2.97,53.0
137,40,71.6,168.3,71,Strength,304,110,6.5,15711,77,75,55.5,4,2.84,72.6
138,56,99.0,181.0,64,HIIT,463,109,9.3,13227,154,76,54.1,6,2.08,87.0
139,32,53.4,158.0,56,Yoga,315,170,6.2,10028,156,56,33.0,5,2.92,92.0
140,46,75.9,198.4,61,HIIT,345,95,9.2,18945,141,71,49.3,6,3.18,55.3
141,53,59.0,195.7,63,Strength,338,138,5.9,2089,102,66,51.7,9,1.1,69.6
142,30,98.5,158.3,100,HIIT,490,168,7.2,7735,26,59,51.5,6,1.35,71.5
143,49,55.7,156.1,57,Yoga,619,119,4.9,5145,31,52,51.7,6,1.95,82.0
144,24,70.2,154.3,118,Strength,689,77,9.0,3292,179,48,35.1,8,1.97,59.8
145,39,86.9,195.5,113,Cardio,376,79,8.4,9559,20,52,39.5,5,3.7,57.6
146,45,85.2,159.7,25,HIIT,301,64,7.2,5781,38,67,55.3,5,3.05,82.3
147,19,71.1,170.8,87,Strength,313,77,4.2,4391,29,60,57.0,1,2.12,64.0
148,59,67.3,172.4,70,HIIT,577,99,6.9,19602,14,78,38.4,6,3.43,40.2
149,23,69.9,180.0,54,Yoga,607,60,5.4,15204,162,66,30.7,1,1.97,96.3
150,45,63.2,153.6,77,Strength,174,78,6.5,4252,43,67,55.8,8,3.97,49.0
151,45,60.3,161.3,76,Cardio,241,146,9.1,5891,149,49,41.3,9,3.34,48.9
152,37,74.2,196.6,92,Cardio,689,85,8.6,11866,37,81,39.9,6,3.43,89.1
153,47,63.4,195.4,25,HIIT,421,172,5.5,19159,107,51,40.4,9,1.78,60.1
154,28,64.4,189.1,32,Yoga,560,88,9.9,7229,15,81,42.5,2,1.44,59.7
155,45,82.8,151.0,78,Yoga,245,118,9.4,9553,28,70,41.3,9,2.17,77.3
156,42,98.4,166.4,105,HIIT,153,122,7.2,2063,21,72,47.0,4,2.0,43.5
157,56,80.2,181.4,111,Strength,455,157,7.2,3787,34,48,32.4,3,3.31,54.2
158,50,53.8,163.8,49,Strength,376,142,9.4,14042,22,76,59.1,1,1.52,43.2
159,18,53.8,195.5,119,HIIT,694,121,7.8,10069,85,82,58.1,1,2.58,57.5
160,44,97.6,181.7,21,Strength,499,107,7.2,13726,12,53,58.0,8,2.88,92.2
161,30,64.9,153.6,77,Strength,615,121,8.5,5915,33,80,56.4,2,2.16,94.6
162,58,54.6,195.5,55,Strength,598,77,5.4,16655,17,70,49.8,1,1.6,58.6
163,20,80.0,197.9,91,HIIT,410,125,9.3,14644,121,55,36.6,2,3.69,51.3
164,56,81.2,153.9,64,Cardio,370,86,7.2,2092,129,64,31.5,3,1.42,48.1
165,23,82.4,176.6,28,Yoga,675,65,7.6,12934,132,82,33.0,4,1.91,63.7
166,25,63.4,165.2,84,Cardio,548,162,4.5,3677,99,59,39.7,9,3.27,89.6
167,44,50.8,169.6,96,Strength,211,129,5.9,5864,54,79,45.1,7,2.82,91.2
168,26,98.3,159.0,69,HIIT,338,118,6.6,19785,10,53,59.8,5,3.19,42.8
169,54,62.5,178.9,98,Yoga,243,65,6.5,19990,12,77,43.1,5,3.43,52.6
170,50,83.8,197.9,51,Strength,473,90,8.7,14148,74,55,45.7,6,3.69,52.2
171,59,85.3,175.2,117,Yoga,119,164,5.7,13263,24,66,50.9,1,1.91,89.7
172,41,80.5,154.1,62,Yoga,675,163,5.1,19281,59,50,35.4,6,2.42,67.4
173,32,65.6,181.0,114,Cardio,388,153,7.5,17113,157,81,58.0,6,3.06,62.1
174,49,63.6,167.0,97,Strength,692,115,7.7,6587,140,65,45.9,5,3.38,97.4
175,49,79.9,192.8,73,Yoga,296,113,4.7,19916,152,56,38.3,9,2.73,95.5
176,41,93.3,171.7,66,Cardio,481,144,4.0,12169,133,51,58.1,5,2.54,66.4
177,58,97.3,159.6,33,HIIT,680,100,9.5,3798,46,46,48.8,9,3.08,47.7
178,29,55.3,159.6,67,Yoga,591,167,4.5,15782,158,83,44.5,7,2.15,50.3
179,56,57.7,188.4,74,Strength,263,77,9.4,19735,115,68,47.4,3,3.68,46.7
180,19,97.2,163.3,48,HIIT,348,146,6.4,15408,112,70,52.4,9,1.64,80.8
181,20,86.8,188.4,66,Yoga,167,161,7.9,12030,160,69,34.6,7,3.65,73.3
182,54,94.1,160.3,82,Yoga,120,82,5.1,12752,130,64,55.9,4,2.93,73.4
183,34,60.1,166.1,38,Strength,611,151,8.9,9051,108,84,58.8,9,2.8,45.9
184,19,79.4,173.3,110,Yoga,696,95,5.1,11855,155,46,47.0,6,2.41,87.6
185,19,85.1,197.2,28,Strength,489,84,6.3,12589,26,79,50.5,9,1.46,72.1
186,45,84.0,196.6,56,Strength,635,66,5.4,13395,168,77,55.8,4,3.59,45.5
187,40,70.4,160.3,111,Strength,210,141,9.0,14833,57,61,41.2,2,1.16,84.8
188,54,50.8,167.9,71,Strength,694,79,9.2,2598,35,66,59.8,9,1.81,98.9
189,49,79.1,157.5,76,Yoga,559,64,6.2,16367,31,45,50.4,4,1.33,66.5
190,50,62.7,175.5,107,HIIT,177,77,5.8,18642,134,81,42.7,2,1.32,46.9
191,18,72.5,173.0,47,HIIT,533,165,8.6,10003,173,74,50.3,7,2.17,46.1
192,36,97.9,195.0,55,Cardio,479,163,9.3,12097,73,50,45.7,7,1.48,41.6
193,19,70.0,196.5,83,Strength,539,92,7.7,15207,172,58,33.3,5,2.74,86.2
194,43,92.0,169.2,37,Yoga,438,138,9.6,13824,91,80,53.9,5,2.88,81.6
195,49,59.4,174.6,108,Yoga,523,94,6.3,2797,164,77,46.9,8,3.65,75.1
196,23,83.6,194.8,54,Cardio,268,170,4.9,12695,77,82,53.9,6,1.9,85.9
197,49,98.9,190.3,87,HIIT,361,169,5.1,7713,154,83,34.6,1,1.93,100.0
198,21,55.1,150.2,97,Yoga,678,124,8.0,9311,148,50,46.2,4,1.74,64.1
199,28,50.4,166.0,58,Cardio,328,122,6.4,7911,14,70,53.0,1,3.35,82.3
200,34,71.7,171.1,109,HIIT,260,144,4.9,5954,130,68,59.6,5,2.28,62.6
201,55,54.6,161.5,27,Yoga,526,131,5.8,11819,66,77,56.5,5,2.66,61.1
202,41,87.4,160.0,107,Strength,221,130,7.2,6312,83,52,55.9,4,2.12,91.1
203,22,95.7,151.9,99,Cardio,248,100,4.7,10980,94,78,37.4,9,1.47,74.5
204,51,71.7,182.2,103,Yoga,210,109,4.0,17828,129,78,55.1,8,1.31,47.2
205,23,62.9,163.1,34,Cardio,320,167,9.5,15952,23,68,35.1,3,3.6,64.2
206,39,71.7,152.6,26,Cardio,163,163,5.8,9102,81,46,35.9,5,1.8,87.8
207,28,86.2,161.5,36,Cardio,453,163,5.3,14660,138,52,33.3,6,3.82,96.4
208,33,50.5,190.1,105,Strength,573,89,8.2,17427,153,69,55.7,5,3.84,76.9
209,50,79.5,192.6,105,HIIT,584,97,9.1,3447,35,74,33.2,8,2.44,63.7
210,26,80.7,174.2,83,HIIT,112,94,7.8,18898,58,76,34.1,5,3.88,55.1
211,23,81.9,170.8,31,Yoga,252,125,5.5,14651,179,74,37.4,8,1.09,65.3
212,33,62.1,198.9,101,Strength,338,105,9.2,17112,112,51,47.2,3,1.27,73.9
213,46,85.7,160.0,75,HIIT,289,67,7.1,3951,75,68,56.4,5,1.73,40.3
214,20,54.6,160.8,65,Yoga,185,161,6.3,15827,62,53,42.5,4,1.63,56.1
215,37,60.0,164.6,66,Yoga,120,127,7.6,10965,18,60,46.4,6,1.76,80.3
216,53,93.9,158.6,98,Cardio,418,96,8.2,2328,78,46,35.0,3,2.36,80.4
217,36,86.9,169.0,35,Strength,257,144,7.6,10985,49,79,38.0,4,1.19,79.2
218,43,50.7,195.5,88,HIIT,580,72,9.5,14884,142,78,34.0,4,2.67,97.0
219,20,62.4,180.8,21,Strength,175,132,7.8,7973,65,66,42.3,5,1.93,74.1
220,36,60.7,170.6,111,Strength,428,104,9.3,19794,120,63,47.7,6,1.21,56.2
221,37,63.5,196.7,73,HIIT,515,88,7.5,9714,14,65,38.5,2,3.26,88.7
222,49,62.4,152.4,46,HIIT,302,100,6.0,3137,78,56,55.4,8,2.96,63.4
223,24,53.1,160.5,50,Strength,328,115,7.2,19952,61,55,59.4,4,3.38,54.4
224,58,72.9,178.3,60,Yoga,251,147,4.5,6472,82,63,33.6,7,3.82,73.4
225,50,86.6,180.8,55,Strength,171,75,5.4,5274,107,50,30.5,7,2.76,57.3
226,57,80.3,152.0,66,HIIT,324,71,8.6,5273,170,58,53.7,2,3.36,63.8
227,56,83.6,170.2,62,Strength,572,125,8.0,17151,159,77,35.7,7,1.6,81.6
228,35,54.1,182.5,84,HIIT,459,121,5.0,12155,24,82,40.6,1,2.23,99.8
229,57,97.6,184.9,69,Yoga,639,78,6.6,7362,74,57,41.8,2,2.59,78.7
230,18,91.9,181.9,112,Strength,145,89,4.9,6636,80,70,57.5,5,2.62,56.6
231,28,90.3,166.0,20,Yoga,100,75,9.1,7346,160,58,49.8,8,3.16,45.4
232,45,91.1,154.7,91,Strength,344,147,4.7,19620,120,68,31.2,7,3.39,61.7
233,42,96.6,171.4,76,Strength,318,72,7.9,12938,15,45,30.4,3,3.0,41.2
234,40,77.2,156.4,35,HIIT,390,128,7.6,6208,163,74,36.0,9,1.14,67.9
235,48,60.0,197.4,47,Cardio,557,82,6.8,6468,149,54,39.5,5,2.05,79.6
236,47,80.8,173.8,105,HIIT,303,121,5.7,4346,86,54,44.5,3,2.72,70.7
237,59,87.1,165.9,101,Strength,301,179,6.4,15984,124,72,55.1,7,2.52,91.9
238,52,86.9,188.3,41,Cardio,665,161,8.8,3042,122,48,39.4,4,1.13,69.6
239,24,76.1,174.9,60,Cardio,581,90,8.6,15063,86,58,41.3,1,3.94,67.7
240,33,53.4,165.5,95,Yoga,610,112,8.4,10199,139,56,39.9,5,3.87,58.6
241,43,68.6,190.6,38,Strength,377,179,8.5,5731,169,82,30.3,8,3.32,90.3
242,19,96.0,193.4,108,HIIT,115,76,4.9,11765,104,81,58.7,4,1.17,94.2
243,18,79.2,183.7,69,Cardio,624,108,4.6,9302,70,54,34.2,7,2.29,98.7
244,29,76.9,152.3,78,Cardio,455,108,9.2,18844,148,71,38.6,8,2.23,98.9
245,22,63.4,178.3,88,HIIT,455,126,9.0,18294,110,56,33.9,9,2.67,98.8
246,54,68.4,188.2,53,HIIT,698,85,8.1,4302,43,66,44.7,9,1.17,82.7
247,49,94.8,156.8,58,Cardio,177,72,7.6,11543,104,48,58.0,5,2.27,73.8
248,26,83.3,161.4,93,HIIT,166,167,6.2,2361,112,73,33.0,6,3.27,50.3
249,58,89.4,194.1,26,Yoga,313,97,5.3,7493,17,80,43.2,7,3.99,86.0
250,52,72.7,151.0,71,Cardio,548,81,8.0,19171,145,58,30.7,2,2.79,84.1
251,36,81.5,187.6,79,Yoga,532,144,9.5,18592,107,56,53.1,9,3.82,90.5
252,33,62.4,173.7,71,Strength,644,88,6.6,10458,152,64,49.2,1,4.0,67.7
253,20,85.3,172.3,98,Yoga,214,104,5.8,7092,14,67,51.0,6,2.3,93.5
254,37,71.4,150.4,43,HIIT,519,105,5.6,18937,156,66,44.2,6,3.01,83.1
255,41,72.1,191.0,45,Cardio,598,98,4.1,10025,146,78,57.2,7,1.64,50.3
256,50,82.5,168.0,109,Yoga,479,128,7.1,15817,166,65,42.3,2,2.43,52.4
257,41,96.8,177.0,109,HIIT,242,137,9.9,11779,110,53,45.4,6,1.24,88.9
258,28,53.2,183.9,29,HIIT,123,141,8.9,6516,156,54,50.9,6,1.09,65.5
259,25,91.2,185.1,36,Yoga,638,127,9.4,8451,55,54,45.6,9,3.68,54.9
260,53,64.6,197.8,97,Cardio,174,156,7.7,16530,113,74,35.7,8,3.58,65.4
261,55,72.2,176.6,21,Yoga,634,98,6.9,11310,89,77,39.5,5,1.94,49.7
262,57,51.1,170.0,96,Strength,140,79,9.9,3513,127,46,32.8,7,2.37,93.5
263,37,65.1,197.7,46,Yoga,667,136,6.7,15336,14,76,43.0,7,2.48,44.3
264,52,75.1,182.1,92,Yoga,512,159,9.5,13595,170,61,48.3,5,2.56,61.2
265,42,52.8,164.9,90,Cardio,514,168,8.6,8749,64,72,33.6,7,1.4,73.4
266,52,74.6,156.3,67,Yoga,548,127,6.0,9005,28,61,48.9,3,3.33,92.4
267,42,96.4,192.1,93,HIIT,535,94,7.0,6438,154,58,56.8,7,2.04,86.9
268,46,55.3,168.1,28,Cardio,651,67,6.3,14880,97,54,40.1,6,1.1,41.3
269,35,88.2,183.0,105,HIIT,338,111,4.8,14256,126,78,36.7,6,3.03,89.5
270,35,70.5,173.5,42,Cardio,141,99,6.1,12176,179,58,56.8,2,3.49,78.3
271,19,82.8,159.9,90,Strength,109,172,9.3,18359,159,61,50.8,2,3.75,48.0
272,52,63.0,180.1,92,Strength,364,170,8.5,16412,48,81,33.2,7,3.02,77.0
273,33,58.0,153.0,46,Strength,680,95,5.7,16287,134,66,42.2,1,1.57,89.1
274,58,58.0,170.7,107,Yoga,544,65,6.2,19589,36,62,50.2,9,2.77,76.1
275,53,53.5,177.3,112,Strength,238,179,7.7,15044,85,79,47.2,3,3.74,99.9
276,50,59.3,171.8,100,Cardio,295,145,6.5,4435,136,62,48.6,6,2.05,70.4
277,21,83.2,187.4,103,Strength,173,129,7.0,13166,165,74,47.0,3,3.86,80.4
278,50,94.1,191.4,90,Cardio,324,165,8.2,5098,176,81,53.9,9,1.29,44.2
279,31,90.7,188.6,62,HIIT,201,159,6.8,5386,131,84,39.6,7,3.18,88.8
280,38,84.3,151.9,26,Yoga,363,132,5.1,7440,155,50,51.3,1,1.36,77.4
281,37,55.5,159.7,111,HIIT,260,75,7.1,14735,96,59,59.7,4,3.4,73.7
282,25,64.5,176.8,102,HIIT,332,162,6.1,12008,159,79,41.7,5,1.29,82.5
283,24,65.5,196.7,82,Strength,590,105,5.7,8436,77,70,53.7,7,1.98,73.6
284,20,62.5,191.7,103,Strength,410,118,6.0,9403,20,71,37.4,7,3.33,86.0
285,34,75.8,192.1,63,Strength,326,97,6.6,12696,91,74,38.5,5,2.38,75.0
286,50,76.8,165.2,58,HIIT,372,156,9.3,4939,73,55,58.0,1,3.65,71.2
287,29,67.8,171.5,59,Yoga,416,77,8.4,19222,128,68,30.8,5,2.21,48.1
288,39,67.7,173.5,26,Yoga,185,71,8.0,5138,94,58,36.5,5,3.98,68.3
289,39,91.4,157.9,89,HIIT,390,113,6.8,18559,66,67,44.5,4,1.06,72.3
